iter	Passed	Remaining
636	1278	728
637	1279	726
638	1281	723
639	1284	722
640	1285	720
641	1287	717
642	1288	715
643	1290	713
644	1291	710
645	1293	708
646	1294	706
647	1297	704
648	1298	702
649	1300	700
650	1301	697
651	1303	695
652	1304	693
653	1306	691
654	1307	688
655	1309	686
656	1311	684
657	1313	682
658	1314	680
659	1316	678
660	1317	675
661	1319	673
662	1320	671
663	1322	668
664	1323	666
665	1325	664
666	1327	662
667	1329	660
668	1330	658
669	1332	656
670	1333	653
671	1335	651
672	1336	649
673	1338	647
674	1340	645
675	1341	643
676	1343	640
677	1344	638
678	1346	636
679	1348	634
680	1349	632
681	1351	630
682	1352	627
683	1354	625
684	1355	623
685	1357	621
686	1359	619
687	1360	617
688	1362	614
689	1363	612
690	1365	610
691	1366	608
692	1368	606
693	1369	604
694	1371	601
695	1373	599
696	1374	597
697	1376	595
698	1377	593
699	1379	591
700	1381	589
701	1382	586
702	1383	584
703	1385	582
704	1386	580
705	1388	578
706	1390	576
707	1391	573
708	1393	571
709	1394	569
710	1396	567
711	1398	565
712	1399	563
713	1401	561
714	1402	559
715	1404	556
716	1405	554
717	1407	552
718	1409	550
719	1410	548
720	1412	546
721	1413	544
722	1415	542
723	1416	540
724	1418	538
725	1419	535
726	1421	533
727	1423	531
728	1424	529
729	1426	527
730	1427	525
731	1429	523
732	1430	521
733	1432	519
734	1434	517
735	1435	514
736	1437	513
737	1439	511
738	1440	508
739	1442	506
740	1443	504
741	1445	502
742	1446	500
743	1448	498
744	1450	496
745	1452	494
746	1454	492
747	1455	490
748	1457	488
749	1458	486
750	1460	484
751	1461	482
752	1463	480
753	1465	478
754	1467	476
755	1468	474
756	1470	471
757	1471	469
758	1473	467
759	1474	465
760	1476	463
761	1477	461
762	1480	459
763	1481	457
764	1483	455
765	1485	453
766	1486	451
767	1488	449
768	1490	447
769	1491	445
770	1493	443
771	1496	441
772	1498	439
773	1500	438
774	1502	436
775	1504	434
776	1505	432
777	1507	430
778	1509	428
779	1510	426
780	1512	424
781	1514	422
782	1515	420
783	1517	417
784	1518	415
785	1520	413
786	1521	411
787	1524	410
788	1526	408
789	1527	406
790	1529	404
791	1531	402
792	1532	400
793	1534	398
794	1536	396
795	1538	394
796	1539	392
797	1541	390
798	1543	388
799	1544	386
800	1546	384
801	1548	382
802	1550	380
803	1552	378
804	1554	376
805	1556	374
806	1557	372
807	1559	370
808	1561	368
809	1562	366
810	1564	364
811	1567	362
812	1569	360
813	1571	358
814	1572	357
815	1574	355
816	1576	353
817	1578	351
818	1580	349
819	1582	347
820	1583	345
821	1585	343
822	1587	341
823	1589	339
824	1591	337
825	1592	335
826	1594	333
